,from_name,from,to_name,to,P
0,AMUAY BAY,"[-70.217265, 11.749413333333333]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000385357
1,AMUAY BAY,"[-70.217265, 11.749413333333333]",XINSHA,"[113.545415, 22.974033333333335]",8.85E-05
2,AMUAY BAY,"[-70.217265, 11.749413333333333]",DALIAN,"[121.98408, 38.90600333333333]",7.71E-06
3,AMUAY BAY,"[-70.217265, 11.749413333333333]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000335502
4,AMUAY BAY,"[-70.217265, 11.749413333333333]",GUANGZHOU,"[113.43307, 23.090493333333335]",0.000191057
5,AMUAY BAY,"[-70.217265, 11.749413333333333]",CHIWAN,"[113.8946, 22.455883333333333]",0.000388065
6,SHERBRO,"[-12.781093333333333, 7.720533333333333]",XINGANG,"[113.50651666666667, 23.054016666666666]",8.11E-05
7,SHERBRO,"[-12.781093333333333, 7.720533333333333]",XINSHA,"[113.545415, 22.974033333333335]",6.66E-05
8,SHERBRO,"[-12.781093333333333, 7.720533333333333]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.83E-05
9,POINT CENTRAL,"[-17.0304, 20.82848]",DALIAN,"[121.98408, 38.90600333333333]",1.10E-05
10,POINT CENTRAL,"[-17.0304, 20.82848]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000243283
11,POINT CENTRAL,"[-17.0304, 20.82848]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.31E-05
12,POINT CENTRAL,"[-17.0304, 20.82848]",SHANGHAI,"[121.7305, 31.308273333333332]",6.52E-06
13,POINT CENTRAL,"[-17.0304, 20.82848]",NINGBO,"[121.89526166666667, 29.93238]",7.78E-05
14,NANAO,"[136.96023333333332, 37.06155]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",1.46E-06
15,NANAO,"[136.96023333333332, 37.06155]",XINGANG,"[113.50651666666667, 23.054016666666666]",7.41E-05
16,NANAO,"[136.96023333333332, 37.06155]",DALIAN,"[121.98408, 38.90600333333333]",0.00019297
17,NANAO,"[136.96023333333332, 37.06155]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000228393
18,NANAO,"[136.96023333333332, 37.06155]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",6.82E-06
19,NANAO,"[136.96023333333332, 37.06155]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000301514
20,NANAO,"[136.96023333333332, 37.06155]",BAOSHAN,"[121.4827, 31.446695]",1.29E-05
21,NANAO,"[136.96023333333332, 37.06155]",YANTIAN,"[114.26794666666666, 22.57345]",0.000155285
22,NANAO,"[136.96023333333332, 37.06155]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000586494
23,NANAO,"[136.96023333333332, 37.06155]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000366727
24,NANAO,"[136.96023333333332, 37.06155]",CHIWAN,"[113.8946, 22.455883333333333]",0.000198967
25,NANAO,"[136.96023333333332, 37.06155]",NANSHA,"[113.68256166666667, 22.643306666666668]",9.86E-05
26,NANAO,"[136.96023333333332, 37.06155]",NINGBO,"[121.89526166666667, 29.93238]",5.40E-05
27,MATSUURA,"[129.69171833333334, 33.36165]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",5.48E-06
28,MATSUURA,"[129.69171833333334, 33.36165]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",2.12E-07
29,MATSUURA,"[129.69171833333334, 33.36165]",XINGANG,"[113.50651666666667, 23.054016666666666]",2.72E-05
